Time_panda2 bufferSize_panda2 hasThroughput_panda2 estimatedBW_panda2 videoLevel_panda2 tcpThroughput_panda2
0.27 17 2093.00 4893.12 4250 0.00
0.27 16 6565.00 4893.12 4250 0.00
0.27 17 1425.00 4859.89 4250 0.00
0.27 16 6209.00 4859.89 4250 0.00
0.28 17 990.00 4832.71 4250 0.00
0.28 16 5238.00 4832.71 4250 0.00
0.28 17 0.00 4811.57 4250 0.00
0.28 16 4432.00 4811.57 4250 0.00
0.28 17 0.00 4795.26 4250 0.00
0.28 16 3887.00 4795.26 4250 0.00
0.28 17 0.00 4781.61 4250 0.00
0.28 16 4088.00 4781.61 4250 0.00
0.28 17 0.00 4770.68 4250 0.00
0.28 16 4190.00 4770.68 4250 0.00
0.28 17 0.00 4761.95 4250 0.00
0.29 16 4190.00 4761.95 4250 0.00
0.29 17 0.00 4755.56 4250 0.00
0.29 16 4190.00 4755.56 4250 0.00
0.29 17 0.00 4750.45 4250 0.00
0.29 16 4190.00 4750.45 4250 0.00
0.29 17 0.00 4746.36 4250 0.00
0.29 16 4190.00 4746.36 4250 0.00
0.29 17 0.00 4742.48 4250 0.00
0.29 16 4190.00 4742.48 4250 0.00
0.29 17 0.00 4739.39 4250 0.00
0.30 16 4190.00 4739.39 4250 0.00
0.30 17 0.00 4736.91 4250 0.00
0.30 16 4190.00 4736.91 4250 0.00
0.30 17 0.00 4734.93 4250 0.00
