Time_panda2 bufferSize_panda2 hasThroughput_panda2 estimatedBW_panda2 videoLevel_panda2 tcpThroughput_panda2
0.27 24 0.00 3229.02 1950 0.00
0.28 23 844.00 3229.02 1950 0.00
0.28 24 0.00 3310.19 1950 0.00
0.28 25 0.00 3391.23 1950 0.00
0.28 24 0.00 3391.23 1950 0.00
0.28 23 3518.00 3391.23 1950 0.00
0.28 24 0.00 3472.14 1950 0.00
0.28 25 0.00 3567.19 1950 0.00
0.28 24 1904.00 3567.19 1950 0.00
0.28 25 0.00 3659.31 1950 0.00
0.28 24 583.00 3659.31 3050 0.00
0.28 25 0.00 3749.11 3050 0.00
0.29 24 0.00 3749.11 3050 0.00
0.29 25 0.00 3845.21 3050 0.00
0.29 24 0.00 3845.21 3050 0.00
0.29 23 3682.00 3845.21 3050 0.00
0.29 24 0.00 3946.34 3050 0.00
0.29 23 214.00 3946.34 3050 0.00
0.29 22 5910.00 3946.34 3050 0.00
0.29 23 0.00 4055.38 3050 0.00
0.29 22 2748.00 4055.38 3050 0.00
0.29 23 0.00 4169.19 3050 0.00
0.30 22 0.00 4169.19 3050 0.00
0.30 21 4538.00 4169.19 3050 0.00
0.30 22 0.00 4303.92 3050 0.00
0.30 21 3461.00 4303.92 3050 0.00
