Time BufferSize VideoLevel DownloadTime RequestInterval BufferVariation
214.00 18.00 4250 1.82 0.62 -0.45
215.00 19.00 4250 1.82 0.46 -0.28
216.00 18.00 4250 1.82 0.46 -0.28
217.00 17.00 4250 1.82 0.46 -0.28
218.00 18.00 4250 1.82 0.49 -0.31
219.00 17.00 4250 1.82 0.49 -0.31
220.00 18.00 4250 1.82 0.52 -0.34
221.00 19.00 4250 0.99 0.51 0.50
222.00 18.00 4250 0.99 0.51 0.50
223.00 19.00 4250 0.99 0.70 0.31
224.00 18.00 4250 0.99 0.70 0.31
225.00 19.00 4250 0.99 0.68 0.33
226.00 20.00 4250 0.99 0.65 0.36
227.00 19.00 4250 0.99 0.65 0.36
228.00 20.00 4250 0.99 0.82 0.19
229.00 19.00 4250 0.99 0.82 0.19
230.00 20.00 4250 0.99 0.79 0.22
231.00 19.00 4250 0.99 0.79 0.22
232.00 20.00 4250 0.99 0.75 0.26
233.00 21.00 4250 0.99 0.72 0.29
234.00 20.00 4250 0.99 0.72 0.29
235.00 21.00 4250 0.99 0.88 0.13
236.00 20.00 4250 0.99 0.88 0.13
237.00 21.00 4250 0.99 0.84 0.17
238.00 20.00 4250 0.99 0.84 0.17
239.00 21.00 4250 0.99 0.81 0.20
240.00 20.00 4250 0.99 0.81 0.20
241.00 21.00 4250 0.99 0.77 0.24
242.00 20.00 4250 0.99 0.77 0.24
243.00 21.00 4250 1.82 0.80 -0.62
244.00 20.00 4250 1.82 0.80 -0.62
245.00 19.00 4250 1.82 0.80 -0.62
246.00 20.00 4250 1.82 0.67 -0.49
247.00 19.00 4250 1.82 0.67 -0.49
248.00 20.00 4250 1.82 0.53 -0.35
249.00 19.00 4250 1.82 0.53 -0.35
250.00 18.00 4250 1.82 0.53 -0.35
251.00 19.00 4250 1.82 0.58 -0.40
252.00 18.00 4250 1.82 0.58 -0.40
253.00 19.00 4250 1.82 0.62 -0.45
254.00 18.00 4250 1.82 0.62 -0.45
255.00 19.00 4250 1.82 0.46 -0.28
256.00 18.00 4250 1.82 0.46 -0.28
257.00 17.00 4250 1.82 0.46 -0.28
258.00 18.00 4250 1.82 0.49 -0.31
259.00 17.00 4250 1.82 0.49 -0.31
260.00 18.00 4250 1.82 0.51 -0.34
261.00 17.00 4250 1.82 0.51 -0.34
262.00 18.00 4250 0.99 0.51 0.50
263.00 19.00 4250 0.99 0.70 0.31
264.00 18.00 4250 0.99 0.70 0.31
265.00 19.00 4250 0.99 0.68 0.33
266.00 20.00 4250 0.99 0.65 0.36
267.00 19.00 4250 0.99 0.65 0.36
268.00 20.00 4250 0.99 0.82 0.19
269.00 19.00 4250 0.99 0.82 0.19
270.00 20.00 4250 0.99 0.79 0.22
271.00 19.00 4250 0.99 0.79 0.22
272.00 20.00 4250 0.99 0.75 0.26
273.00 21.00 4250 0.99 0.72 0.30
274.00 20.00 4250 0.99 0.72 0.30
275.00 21.00 4250 0.99 0.88 0.13
276.00 20.00 4250 0.99 0.88 0.13
277.00 21.00 4250 0.99 0.84 0.17
278.00 20.00 4250 0.99 0.84 0.17
279.00 21.00 4250 0.99 0.81 0.20
280.00 20.00 4250 0.99 0.81 0.20
281.00 21.00 4250 0.99 0.77 0.24
282.00 22.00 4250 0.99 0.74 0.27
283.00 21.00 4250 0.99 0.74 0.27
284.00 22.00 4250 0.99 0.91 0.10
285.00 21.00 4250 0.99 0.91 0.10
286.00 22.00 4250 0.99 0.88 0.14
287.00 21.00 4250 0.99 0.88 0.14
288.00 22.00 4250 0.99 0.85 0.17
289.00 21.00 4250 0.99 0.85 0.17
290.00 22.00 4250 0.99 0.82 0.19
291.00 23.00 4250 0.99 1.29 -0.28
292.00 22.00 4250 0.99 1.29 -0.28
293.00 21.00 6050 0.99 1.29 -0.28
294.00 22.00 6050 1.39 1.04 -0.42
295.00 21.00 6050 1.39 1.04 -0.42
296.00 20.00 6050 1.39 1.04 -0.42
297.00 21.00 6050 1.39 0.79 -0.18
298.00 20.00 6050 1.39 0.79 -0.18
299.00 21.00 6050 1.39 0.78 -0.17
