Time_proposed bufferSize_proposed hasThroughput_proposed estimatedBW_proposed videoLevel_proposed tcpThroughput_proposed
0.20 20 0.00 4158.75 3050 0.00
0.20 19 5599.00 4158.75 3050 0.00
0.20 20 1581.00 4317.94 3050 0.00
0.20 21 0.00 4477.32 3050 0.00
0.20 20 4919.00 4477.32 3050 0.00
0.20 21 0.00 4636.84 3050 0.00
0.20 20 3362.00 4636.84 3050 0.00
0.20 19 5574.00 4636.84 3050 0.00
0.20 20 68.00 4496.87 3050 0.00
0.20 19 3526.00 4496.87 3050 0.00
0.21 18 6090.00 4496.87 3050 0.00
0.21 19 1048.00 4072.68 3050 0.00
0.21 18 4190.00 4072.68 3050 0.00
0.21 19 0.00 3810.74 3050 0.00
0.21 18 2093.00 3810.74 3050 0.00
0.21 17 4825.00 3810.74 3050 0.00
0.21 18 0.00 3536.51 3050 0.00
0.21 17 2093.00 3536.51 3050 0.00
0.21 16 5255.00 3536.51 3050 0.00
0.21 17 0.00 3360.76 3050 0.00
0.22 16 2793.00 3360.76 3050 0.00
0.22 15 5234.00 3360.76 3050 0.00
0.22 16 1048.00 3178.95 3050 0.00
0.22 15 3145.00 3178.95 3050 0.00
0.22 14 5242.00 3178.95 3050 0.00
0.22 15 2744.00 2969.93 1950 0.00
0.22 16 3215.00 2895.05 1950 0.00
0.22 19 0.00 2873.67 1950 0.00
0.22 20 0.00 2907.89 1950 0.00
0.23 21 0.00 3320.54 1950 0.00
0.23 22 0.00 4318.45 1950 0.00
0.23 23 0.00 5045.90 1950 0.00
0.23 22 0.00 5045.90 1950 0.00
0.23 21 6332.00 5045.90 4250 0.00
0.23 22 0.00 5279.75 4250 0.00
0.23 21 1880.00 5279.75 4250 0.00
0.23 20 6262.00 5279.75 4250 0.00
0.23 21 0.00 5288.49 4250 0.00
0.23 20 2682.00 5288.49 4250 0.00
0.23 21 0.00 5351.29 4250 0.00
0.24 20 2678.00 5351.29 4250 0.00
0.24 21 0.00 5448.23 4250 0.00
0.24 20 3154.00 5448.23 4250 0.00
0.24 21 0.00 5563.25 4250 0.00
0.24 20 2248.00 5563.25 4250 0.00
0.24 19 7528.00 5563.25 4250 0.00
0.24 20 0.00 5513.74 4250 0.00
0.24 19 2093.00 5513.74 4250 0.00
0.24 18 4268.00 5513.74 4250 0.00
