Time2 BufferSize2 VideoLevel2 DownloadTime2 RequestInterval2 BufferVariation2, PreviousQuality2
235.00 22.00 3050 0.72 0.85 0.43 3050
236.00 21.00 3050 0.72 0.85 0.43 3050
237.00 22.00 3050 0.72 0.98 0.30 3050
238.00 21.00 3050 0.72 0.98 0.30 3050
239.00 22.00 3050 1.14 0.73 0.13 3050
240.00 23.00 3050 1.00 0.88 0.12 3050
241.00 22.00 3050 1.00 0.88 0.12 3050
242.00 21.00 3050 1.00 0.88 0.12 3050
243.00 22.00 3050 1.38 0.68 -0.05 3050
244.00 21.00 3050 1.38 0.68 -0.05 3050
245.00 22.00 3050 2.04 0.85 -0.89 3050
246.00 21.00 3050 2.04 0.85 -0.89 3050
247.00 20.00 3050 2.04 0.85 -0.89 3050
248.00 21.00 3050 2.02 0.79 -0.81 3050
249.00 20.00 3050 2.02 0.79 -0.81 3050
250.00 19.00 3050 2.02 0.79 -0.81 3050
251.00 20.00 3050 2.06 0.70 -0.77 3050
252.00 19.00 3050 2.06 0.70 -0.77 3050
253.00 18.00 3050 2.06 0.70 -0.77 3050
254.00 19.00 3050 2.15 0.53 -0.68 3050
255.00 18.00 3050 2.15 0.53 -0.68 3050
256.00 17.00 3050 2.15 0.53 -0.68 3050
257.00 18.00 1950 2.31 0.00 -0.31 3050
258.00 17.00 1950 2.31 0.00 -0.31 3050
259.00 18.00 1950 1.71 0.28 0.01 1950
260.00 17.00 1950 1.71 0.28 0.01 1950
261.00 18.00 1950 1.81 0.42 -0.23 1950
262.00 19.00 1950 0.77 0.51 0.72 1950
263.00 20.00 1950 0.52 0.77 0.71 1950
264.00 21.00 1950 0.48 0.98 0.55 1950
265.00 20.00 1950 0.48 0.98 0.55 1950
266.00 21.00 1950 0.48 1.14 0.38 1950
267.00 22.00 1950 0.48 1.06 0.46 1950
268.00 21.00 1950 0.48 1.06 0.46 1950
269.00 22.00 1950 0.48 0.96 0.56 1950
270.00 23.00 1950 0.48 1.06 0.47 1950
271.00 22.00 1950 0.48 1.06 0.47 1950
272.00 23.00 1950 0.48 0.95 0.57 1950
